alpha,h,side,method,beta,se,ci_lo,ci_hi,pval,n_obs
0.01,0,down,logit,0.084305996743555,0.0199083691564704,0.04528559319687302,0.12332640029023699,2.288557003489573e-05,40582
0.01,0,down,lpm,0.0017831997716840897,0.00026961770193395133,0.001123345126608788,0.002427119814482831,3.745569458505844e-11,40582
0.01,0,up,logit,0.0589845801224518,0.01734348948599336,0.024991340729904818,0.09297781951499878,0.0006714871630786369,40582
0.01,0,up,lpm,0.0012543171852013996,0.00026496352776294197,0.0006851208583328444,0.001819056275923358,2.202202884851925e-06,40582
0.01,1,down,logit,0.05656574379218003,0.011183600963471076,0.03464588590377672,0.07848560168058334,4.2385718393528625e-07,40581
0.01,1,down,lpm,0.002558922965005636,0.0003707767568592999,0.0017113123437287885,0.0034271251371864554,5.144925874813511e-12,40581
0.01,1,up,logit,0.03463715495663863,0.01113970257166106,0.012803337916182954,0.05647097199709431,0.0018750397719924465,40581
0.01,1,up,lpm,0.0016836048538154725,0.00035452268293862006,0.0008569068263432884,0.0024653826306743807,2.0449157011471557e-06,40581
0.01,3,down,logit,0.03178879215357002,0.007978925888057183,0.016150097412977942,0.047427486894162096,6.773800783849054e-05,40579
0.01,3,down,lpm,0.0024280777797588762,0.00047431054105967436,0.0012188015479845558,0.003659236977265999,3.068781410327819e-07,40579
0.01,3,up,logit,0.03884671138913588,0.0076415870217423805,0.023869200826520817,0.05382422195175095,3.7036287023495976e-07,40579
0.01,3,up,lpm,0.002857367017367613,0.0004914796997393437,0.0017649196124568725,0.003960937453592402,6.106863633044292e-09,40579
0.01,6,down,logit,0.02838954180313769,0.006346943709519943,0.0159495321324786,0.04082955147379678,7.714896244244302e-06,40576
0.01,6,down,lpm,0.002905094789787164,0.0005784096308907483,0.00127061673307452,0.004515784096193432,5.098831087566302e-07,40576
0.01,6,up,logit,0.04001711497969937,0.006021858681103433,0.028214271964736644,0.051819957994662096,3.0258048503015767e-11,40576
0.01,6,up,lpm,0.004128820178486883,0.0006004259819478575,0.002525478338320381,0.005748587868057506,6.134744875758419e-12,40576
0.01,12,down,logit,0.014964407145131349,0.005311329882300636,0.004554200575822101,0.025374613714440594,0.004840662919682983,40570
0.01,12,down,lpm,0.0021146235483848353,0.0006735368986244512,-1.645716012374902e-05,0.004427258672813619,0.0016918972077219646,40570
0.01,12,up,logit,0.04524196297615157,0.00487342603142877,0.035690047954551184,0.05479387799775196,1.641549642673814e-20,40570
0.01,12,up,lpm,0.006518178114759453,0.0007333878848274425,0.004361703744797747,0.008975613197067097,6.235119015527913e-19,40570
0.01,24,down,logit,0.012378377203526438,0.004600889850203439,0.0033606330971276965,0.02139612130992518,0.007135976596581275,40558
0.01,24,down,lpm,0.002109034142954452,0.0007714869191197882,-0.0008191759753846414,0.004962098609097408,0.006262205923021144,40558
0.01,24,up,logit,0.035557964491433114,0.004306347706040354,0.02711752298759402,0.04399840599527221,1.4924832308211135e-16,40558
0.01,24,up,lpm,0.006485799908398742,0.0008170948527837968,0.003707682526605681,0.009486844781345968,2.0607431260508273e-15,40558
0.05,0,down,logit,0.04560391538530366,0.010640374076913407,0.02474878219455338,0.06645904857605393,1.819749848691943e-05,40582
0.05,0,down,lpm,0.003931108672005694,0.00043984151145744834,0.002903857408020021,0.005026802096979385,3.9786772875895564e-19,40582
0.05,0,up,logit,0.04119056313331045,0.009280016315296426,0.02300173115532946,0.05937939511129145,9.053310036630798e-06,40582
0.05,0,up,lpm,0.003590912628576495,0.0004664446412568368,0.002609506445269224,0.0046118010848252245,1.3769916118355591e-14,40582
0.05,1,down,logit,0.03564313009441546,0.006681333439700299,0.02254771655260287,0.048738543636228045,9.568523994851449e-08,40581
0.05,1,down,lpm,0.004294899178477753,0.000586058070639321,0.0029043542737933665,0.00572800589949171,2.3282413232206406e-13,40581
0.05,1,up,logit,0.037133119524494516,0.006416025668974037,0.024557709213305405,0.04970852983568363,7.141710909092484e-09,40581
0.05,1,up,lpm,0.004555806801129933,0.0005949417082217678,0.0032201709484562684,0.005783465938053113,1.8948649207486957e-14,40581
0.05,3,down,logit,0.02049431464947639,0.0053632688283223135,0.009982307745964654,0.031006321552988124,0.00013278463568335114,40579
0.05,3,down,lpm,0.003277164026013661,0.0006863919846493861,0.0014338971639415773,0.004987956202104926,1.801731999428087e-06,40579
0.05,3,up,logit,0.04116365340754213,0.005064618543669999,0.031237001061948936,0.051090305753135334,4.375456776561782e-16,40579
0.05,3,up,lpm,0.006304714002289139,0.0007178534740955028,0.004727454442124965,0.007794016227838778,1.5955235989248042e-18,40579
0.05,6,down,logit,0.01909990617061312,0.004728551234561189,0.00983194575087319,0.02836786659035305,5.361728307517279e-05,40576
0.05,6,down,lpm,0.0033939039835474286,0.0007594963044453006,0.0011805902568483757,0.00541921341710012,7.872409567350018e-06,40576
0.05,6,up,logit,0.03813523625835903,0.004495838117336642,0.029323393548379213,0.04694707896833885,2.2070579695555993e-17,40576
0.05,6,up,lpm,0.006869101859782751,0.0007890136335967402,0.004785436189938234,0.009007518691578172,3.149657322195823e-18,40576
0.05,12,down,logit,0.0031075525994106483,0.0043170317201360235,-0.005353829572055958,0.011568934770877254,0.47162629708320003,40570
0.05,12,down,lpm,0.0008267567518610523,0.0008219692488433757,-0.0018939017362136273,0.003580307034678332,0.3145000329441052,40570
0.05,12,up,logit,0.0361678447562218,0.004096777231301384,0.028138161382871084,0.04419752812957251,1.062169365686714e-18,40570
0.05,12,up,lpm,0.007478467709608385,0.000855341461761035,0.004734764573014553,0.010244037144358745,2.2649058973400688e-18,40570
0.05,24,down,logit,-0.0023594290827980476,0.004061697888514269,-0.010320356944286013,0.005601498778689918,0.5613097143405701,40558
0.05,24,down,lpm,-0.00040716310401627074,0.0008628502925696419,-0.003630591150373368,0.0026327652012507097,0.6370113623225864,40558
0.05,24,up,logit,0.03219234315258417,0.003897199352461323,0.02455383242175998,0.03983085388340837,1.4521082406503808e-16,40558
0.05,24,up,lpm,0.0072605824947737044,0.0008936909066593384,0.004111512068831517,0.010314435576401377,4.500783662130485e-16,40558
0.1,0,down,logit,0.03993223573030624,0.008431946473073661,0.023405620643081868,0.05645885081753062,2.181641470006742e-06,40582
0.1,0,down,lpm,0.005036359818193867,0.0005402799683213769,0.0038117580156641186,0.006242210204062836,1.1442695735270364e-20,40582
0.1,0,up,logit,0.05006370144781376,0.007339833202232437,0.03567762837143818,0.06444977452418933,9.052055984070537e-12,40582
0.1,0,up,lpm,0.006238405993498628,0.0005835496011357876,0.004940225357330533,0.007500122692243858,1.1282607249108571e-26,40582
0.1,1,down,logit,0.022955643275173503,0.005638433740016419,0.011904313144741323,0.034006973405605684,4.675548051486554e-05,40581
0.1,1,down,lpm,0.003982162603713862,0.0006825920346430352,0.0023266498161007725,0.00557922168252072,5.415184495105086e-09,40581
0.1,1,up,logit,0.043251937960954515,0.005331605317536552,0.032801991538582875,0.053701884383326154,4.964317814726376e-16,40581
0.1,1,up,lpm,0.0069618401356111945,0.0007034854253260085,0.00550093322523473,0.0085513556472882,4.323461161430991e-23,40581
0.1,3,down,logit,0.016956597355621342,0.0047007527329418035,0.0077431219990554065,0.026170072712187277,0.00030950840364432744,40579
0.1,3,down,lpm,0.003337008611001704,0.0007749760279822955,0.0015055868654066773,0.005153720955307987,1.6627004742959496e-05,40579
0.1,3,up,logit,0.04053490197038132,0.004498432845150789,0.03171797359388578,0.04935183034687687,2.043833153285432e-19,40579
0.1,3,up,lpm,0.007674990150312401,0.0008016351070981411,0.005905625530892351,0.00938615268116273,1.0267949549979308e-21,40579
0.1,6,down,logit,0.01019293470537275,0.004325198294834505,0.001715546047497121,0.01867032336324838,0.018441121813786713,40576
0.1,6,down,lpm,0.002244506330627464,0.0008230105451254016,-9.049593608263291e-05,0.004606758746781071,0.006387619904357683,40576
0.1,6,up,logit,0.03556302036187617,0.004165515863394097,0.027398609269623737,0.0437274314541286,1.3717729088376366e-17,40576
0.1,6,up,lpm,0.007422924028711019,0.000847420905726706,0.005279705266042183,0.009568905115404376,1.9624031657368714e-18,40576
0.1,12,down,logit,-0.007232337409811288,0.004097343382208659,-0.015263130438940259,0.0007984556193176831,0.07754217870256987,40570
0.1,12,down,lpm,-0.0013060595732752574,0.0008639539438399362,-0.004067581427077012,0.0013994239113261611,0.13060419019702227,40570
0.1,12,up,logit,0.033695883377165,0.0039350715188321995,0.025983143200253887,0.04140862355407611,1.1000044027158483e-17,40570
0.1,12,up,lpm,0.007584420643698967,0.0008859293360306467,0.004929879117608196,0.010428054094300674,1.1191506107094459e-17,40570
0.1,24,down,logit,-0.009092414431174471,0.003932068114008404,-0.016799267934630942,-0.0013855609277179997,0.020757048870686603,40558
0.1,24,down,lpm,-0.001971868988765426,0.0008851141976772882,-0.005050166476532866,0.001176212131022936,0.02589298211406846,40558
0.1,24,up,logit,0.02817423046654172,0.0038223169115107307,0.020682489319980686,0.035665971613102754,1.6937527848359934e-13,40558
0.1,24,up,lpm,0.00663782964194968,0.0009079945791096953,0.003345858986910203,0.009897770431776516,2.6629139588679777e-13,40558
