tau,h,beta_shock,se_shock,pval_shock,beta_interaction,se_interaction,pval_interaction,n_obs
0.01,0,-0.03217347612416255,0.005695406237793577,1.6244122401343436e-08,-0.022182843019827203,0.0096373406936167,0.02135376412720311,40582
0.01,1,-0.08682350672899375,0.01284085304959583,1.3841054897803087e-11,-0.019873518270852486,0.023033103173106452,0.3882392445635784,40581
0.01,2,-0.12069279188513349,0.018701126967526446,1.10328322428325e-10,-0.04633299725762807,0.03206587389039083,0.14848479777276152,40580
0.01,3,-0.10509403258789263,0.022948971732501485,4.675482126805675e-06,-0.06534267265938887,0.03987554446462208,0.10129073010865643,40579
0.01,4,-0.1596352566105832,0.02820856344665232,1.531872698579818e-08,-0.004511497584681834,0.04891687996146097,0.9265174841987345,40578
0.01,5,-0.14546557041531116,0.02812791271829802,2.3323159194667463e-07,-0.09472530660855316,0.04963067079278133,0.05632021961991617,40577
0.01,6,-0.1594361152745023,0.03431438208378358,3.3894423062117384e-06,-0.06627258188655105,0.0562327396816981,0.2385879618587115,40576
0.01,7,-0.19772565926761132,0.03322330025419376,2.6801105416544134e-09,-0.004994229017839302,0.05517976713048807,0.9278837151782318,40575
0.01,8,-0.18962770196355638,0.03217282852029184,3.798551910874142e-09,-0.03153347503203641,0.049542757224623764,0.5244606159137813,40574
0.01,9,-0.2239164229300048,0.033262708034988375,1.6985529541215594e-11,0.005053387242114127,0.05087018759880374,0.9208697035898986,40573
0.01,10,-0.19793551024849876,0.03529322587430424,2.056340439650564e-08,0.0036327515895209217,0.05543208102782863,0.9477482172853382,40572
0.01,11,-0.1920011587350281,0.03700554586576033,2.1307835905388819e-07,-0.022656642372750113,0.06039316163506322,0.7075490549376168,40571
0.01,12,-0.24111597867186063,0.04040520580894971,2.429877391553077e-09,0.05199320517898087,0.06627235973578198,0.4327288929068892,40570
0.01,13,-0.21472894691701327,0.03932707320919811,4.787078841875855e-08,0.06255903503830496,0.06071747541388534,0.3028612753215217,40569
0.01,14,-0.19745528373019017,0.045519275066124215,1.4423763636308542e-05,0.03304102669227227,0.07048057714192182,0.6392178363962746,40568
0.01,15,-0.19996259644470626,0.039996881552610226,5.773192138851996e-07,0.02235493915800646,0.06185429581424355,0.7177927038948883,40567
0.01,16,-0.21208473649860338,0.040393222926274584,1.524474417044927e-07,0.07961273476173858,0.06512832479932938,0.22156425430971796,40566
0.01,17,-0.20314687022408862,0.043230305094828426,2.6206774023606265e-06,0.02857152170884092,0.0673946386884903,0.6716092380203533,40565
0.01,18,-0.23191709825919915,0.04950146036546888,2.8079068845791057e-06,0.052065217353472804,0.0793705669779015,0.511843042033341,40564
0.01,19,-0.27946083158877855,0.04286221448400597,7.114024388999521e-11,0.12465719666958108,0.06814363949141106,0.06735754147785734,40563
0.01,20,-0.2689091852081926,0.04578854555145414,4.317026930821213e-09,-0.06635763574144704,0.07413086147092242,0.3707165829811877,40562
0.01,21,-0.2722877361459446,0.04520657339722433,1.7248214013564793e-09,-0.08407830575264086,0.07368777905425407,0.25387355571366554,40561
0.01,22,-0.28336734166378363,0.043108993297421364,4.981548323378447e-11,-0.06427321782845041,0.07295169176803515,0.3783024356813771,40560
0.01,23,-0.26368870081328666,0.04411281306972226,2.2833833829166006e-09,-0.10121515210991294,0.07524634131188722,0.17859489388107921,40559
0.01,24,-0.21309558149375363,0.04645967692511504,4.516995079148069e-06,-0.1435270075730024,0.07593823193454542,0.05875848230201531,40558
0.05,0,-0.019448830046147947,0.0019082484850818301,2.3040372607665338e-24,-0.0065233390235839295,0.0033092134469046475,0.048700274813528684,40582
0.05,1,-0.04540645567780821,0.004599046552687584,5.785106139996832e-23,-0.004750620138722184,0.007854684822513027,0.5453062440394938,40581
0.05,2,-0.04982310264762457,0.005928217719570024,4.43855068351647e-17,-0.016928771818606414,0.010379384649553918,0.10289817366033353,40580
0.05,3,-0.04584596590619583,0.007401043708495487,5.902036248010303e-10,-0.057428055344303175,0.012862339884337763,8.035121416632946e-06,40579
0.05,4,-0.05910986591096545,0.00874409836199216,1.3988191237171953e-11,-0.042844104080323575,0.015064066879885372,0.004455570310466876,40578
0.05,5,-0.057203410389004006,0.010103440018417223,1.508246131900134e-08,-0.05071373179031813,0.017832255603877245,0.004458275929561504,40577
0.05,6,-0.07923013621797281,0.011133101163251726,1.1242989432474764e-12,-0.04123623513282837,0.0197084619080804,0.03641688738881,40576
0.05,7,-0.06846935246192676,0.011838478011233665,7.3642079137235954e-09,-0.05570617126634758,0.02064241826876477,0.006965514619690411,40575
0.05,8,-0.07077978275078411,0.013006901763949686,5.3076558542561446e-08,-0.07478226097561436,0.022344612455643197,0.0008183348502145808,40574
0.05,9,-0.09762101686474534,0.012690049654620403,1.4728387078651118e-14,-0.051558958953293654,0.022440859129016836,0.021592573443976398,40573
0.05,10,-0.10978313743243717,0.014334741359918406,1.9222786625958398e-14,-0.0066950086556971655,0.02509547240430905,0.7896387280189949,40572
0.05,11,-0.11327347129524767,0.014858435771069203,2.5223143847170267e-14,0.004517179505469926,0.025941563434596027,0.861764921132709,40571
0.05,12,-0.10169389046100719,0.017390659221292622,5.024830904867894e-09,-0.010101950134746573,0.030397040248306206,0.7396392792363704,40570
0.05,13,-0.10910255580111983,0.01736434838751977,3.3517325493600565e-10,-0.005961018560722842,0.029979196155052335,0.8423900708904125,40569
0.05,14,-0.10970294476881648,0.01698567440931883,1.0689946810789787e-10,0.011672829104490745,0.029307811084209396,0.6904230281391208,40568
0.05,15,-0.0919880685037393,0.018450270793036266,6.198244821898236e-07,-0.010962345595055822,0.03192261635039068,0.7312965321255598,40567
0.05,16,-0.08449877542466278,0.01839938659544821,4.393284645396471e-06,-0.009950318871257302,0.0317149854906992,0.7537187106681622,40566
0.05,17,-0.08066175277190801,0.018439420453098782,1.2205957435730098e-05,-0.04674221097774378,0.03164836051586725,0.13970387879310958,40565
0.05,18,-0.08677621073470831,0.019104279292679858,5.5819912822350716e-06,-0.0827279996873358,0.03228252710107136,0.010392005422941962,40564
0.05,19,-0.08950789681228599,0.019285086808108712,3.4730410972925444e-06,-0.10131113198233344,0.033249697283950795,0.0023130236904269756,40563
0.05,20,-0.10840636082831168,0.019903836874782192,5.166687972170907e-08,-0.10304596915286712,0.03381670778705112,0.0023113935528276124,40562
0.05,21,-0.11395828034433464,0.020125678158626436,1.503366540882474e-08,-0.10806465542328425,0.03463336204193226,0.0018082596548454077,40561
0.05,22,-0.12461646934358195,0.020142377188773364,6.199101256570137e-10,-0.07542498048758972,0.03490254304388997,0.030699879796596104,40560
0.05,23,-0.12928874897836629,0.02050218764396832,2.8910479908582443e-10,-0.10880662860072476,0.03549874991906716,0.0021775226261887496,40559
0.05,24,-0.11593610714487745,0.020487025411011148,1.5328120180264783e-08,-0.07675759815281147,0.0352281543938517,0.029347002265475156,40558
0.1,0,-0.013430780818070254,0.0011691851403001412,1.703563663230938e-30,0.0001434863777722839,0.0020363960555763636,0.9438271368529313,40582
0.1,1,-0.030039812685726086,0.0027478411730560456,8.84657260253856e-28,0.0008518915611039901,0.0047086299965443884,0.8564302366098779,40581
0.1,2,-0.02964627246690643,0.0037011328998056837,1.1769339006116795e-15,-0.01090264845796618,0.006462800946793699,0.09161391766719165,40580
0.1,3,-0.03443362677393358,0.004660399737558906,1.5128067391123258e-13,-0.005689611048280585,0.008195385197305718,0.48753210380687473,40579
0.1,4,-0.038593434616487565,0.005651944899332332,8.710645858777769e-12,-0.011500872971391018,0.009764749455384593,0.23888525591388138,40578
0.1,5,-0.0380898354194219,0.005815153989548744,5.8184793540964696e-11,-0.01746145421661005,0.010224040779089992,0.0876659084098419,40577
0.1,6,-0.04313194853879665,0.006728084384650908,1.464097790195271e-10,-0.01657578519574443,0.011760003735170244,0.15869353320807167,40576
0.1,7,-0.05439574837536454,0.0074341570019836245,2.5825419922385825e-13,-0.005869238668880783,0.01269538320569485,0.643859472328961,40575
0.1,8,-0.050923485901169185,0.007953201215399367,1.5412474229176701e-10,-0.041086242106842086,0.013699411409228764,0.0027092073030386328,40574
0.1,9,-0.05052658381466735,0.008130968165336852,5.212309387334407e-10,-0.052702971307139634,0.01431747514436859,0.0002325999227435736,40573
0.1,10,-0.0569126967100857,0.008775032232646153,8.93026000772554e-11,-0.042754644471400205,0.015456766236776259,0.005676036091206349,40572
0.1,11,-0.06277010430670771,0.00920247700932116,9.16737253072881e-12,-0.04195361954393917,0.016132902829411985,0.009312167979493862,40571
0.1,12,-0.06064611811659404,0.009548233584225706,2.1540437464560064e-10,-0.022946072580310783,0.01660429362419792,0.16699893623979917,40570
0.1,13,-0.06491491488913215,0.010338428962450047,3.442184491188863e-10,-0.01688692973778605,0.017976852108403378,0.3475459993601582,40569
0.1,14,-0.06028762064128701,0.010939028325585787,3.584758976488955e-08,-0.03286410505694448,0.018976712954383093,0.08331458914594891,40568
0.1,15,-0.06307458723565418,0.010896905753055968,7.162387428936662e-09,-0.029143955566539148,0.018901899947053196,0.12311706394947107,40567
0.1,16,-0.06511082049743244,0.011210572546151605,6.370070322586174e-09,-0.02589321675954359,0.019328203184460276,0.1803634796378824,40566
0.1,17,-0.05014532892522805,0.011484049781372305,1.2655425262142144e-05,-0.0549086786915538,0.019915843860324505,0.005835418482151046,40565
0.1,18,-0.05245775450384116,0.011955682087650807,1.1485279768554288e-05,-0.07441838771849696,0.02083991462503376,0.00035609390390209893,40564
0.1,19,-0.060548498530280104,0.012545250288047016,1.395224709181815e-06,-0.07030040596631659,0.021599621156318572,0.001136029814499296,40563
0.1,20,-0.05974015516461506,0.013412875318680444,8.453329056875127e-06,-0.07876970396888705,0.023289266434497063,0.0007196728343743726,40562
0.1,21,-0.07752931302802502,0.013214204362380393,4.468682808097269e-09,-0.0698791094066955,0.022728052423677664,0.0021094251942430924,40561
0.1,22,-0.07550983635095676,0.014037494206456252,7.525043507775939e-08,-0.04784248912345568,0.02417290681010282,0.04780270404463324,40560
0.1,23,-0.09137386521956437,0.014606935321689505,4.001594042219413e-10,-0.04796491957300164,0.02522067580024357,0.057203149883878125,40559
0.1,24,-0.09451423659888603,0.014647550111399715,1.112116266241488e-10,-0.05533068203534697,0.025445375015051015,0.029674209852593315,40558
0.25,0,-0.006035296537792889,0.0006963367707224562,4.589110309710161e-18,0.0026035660483224587,0.0012112167355371717,0.03159704065256605,40582
0.25,1,-0.008976035417376016,0.001468828835344882,9.989860249959016e-10,0.004009175819124522,0.0025425209247953925,0.11483768617953842,40581
0.25,2,-0.01081178699126395,0.0019262916878034326,2.004378766104027e-08,0.0027313646619926413,0.003352794427591806,0.415275638842182,40580
0.25,3,-0.012080417996081949,0.0023389706824056963,2.4177523934207047e-07,0.0056606000020655856,0.004063571570191088,0.16362408895524075,40579
0.25,4,-0.00876690862679752,0.0026406243226907277,0.0009009239453804955,-0.005022317579083446,0.004589393030210935,0.273816090759928,40578
0.25,5,-0.009065375816930121,0.0029699306545381363,0.0022717649643047657,-0.004542960110582417,0.005159224045854199,0.37856608320670715,40577
0.25,6,-0.009539510416720631,0.003326629871959445,0.004137849693193273,-0.011847311898603108,0.005761705036711965,0.03976805308887423,40576
0.25,7,-0.015857376269656,0.0035591094081224768,8.394740206275425e-06,-0.005327504864800936,0.0061585427360605575,0.3870113398088003,40575
0.25,8,-0.012395271761474813,0.0038457809117301996,0.00126918898051402,-0.013948984359743122,0.0066803086574938825,0.03679730627731197,40574
0.25,9,-0.010582905083607264,0.004192217390535332,0.011592817033060403,-0.016284408427919228,0.007291101249262737,0.0255238257586965,40573
0.25,10,-0.00133635121098441,0.004364567728342803,0.7594677989191644,-0.03870421693873105,0.007634707819686509,4.005952575970909e-07,40572
0.25,11,-0.0005600941325525355,0.004720462435419449,0.9055513477141588,-0.034892336331070695,0.008250477769861205,2.351112841661474e-05,40571
0.25,12,-0.009763781228366297,0.004880634026147444,0.04545134261986556,-0.025645265507125092,0.008512195442916344,0.0025903683007124077,40570
0.25,13,-0.008641345681165147,0.005172639651928784,0.094810954352605,-0.02168164073936052,0.009002954298218112,0.016032285862624618,40569
0.25,14,-0.010791901028588596,0.005341397335191907,0.04334572027871968,-0.024548534740701844,0.009282374483485704,0.00818094686733704,40568
0.25,15,-0.015217580260793673,0.0057415573742019225,0.008042123363958,-0.024464802849005984,0.009974520866216533,0.014181866125114321,40567
0.25,16,-0.020226981677803346,0.005917511562717316,0.0006310872798127994,-0.020080803160327454,0.010306178388127488,0.05137116252663426,40566
0.25,17,-0.018851048694714656,0.006072154070898243,0.0019072719331782613,-0.021528668660778294,0.01057643696142843,0.04180392737872487,40565
0.25,18,-0.010857877820725448,0.006130564192805283,0.07655061818060371,-0.036614848594438976,0.010690203665351339,0.0006152169920034471,40564
0.25,19,-0.01957798775595343,0.006646998587985092,0.0032273341711076056,-0.024265135505365576,0.011563155155109564,0.03586827972079798,40563
0.25,20,-0.016701689206033543,0.006819642125903196,0.014327297500899967,-0.047008899719049424,0.01186099244772662,7.404135130972307e-05,40562
0.25,21,-0.012922543072249049,0.007091565326337467,0.06842574497070356,-0.045295719470537676,0.012370333692413416,0.00025092332838905603,40561
0.25,22,-0.013532378630564668,0.007201796353781413,0.0602478052469774,-0.04087506288073328,0.01254965735948691,0.0011266270102272419,40560
0.25,23,-0.013335352092304298,0.007330248440783326,0.06888487931775819,-0.052439774534393635,0.012743734348145578,3.8803496720914774e-05,40559
0.25,24,-0.01124705551018551,0.007499597575245797,0.13370305940668967,-0.06562696732062068,0.013037850834288692,4.834797191225417e-07,40558
0.5,0,0.0017120915832676067,0.0005482134251501285,0.0017912025734261995,-0.0005099680686671063,0.0009527554050502441,0.5924757653429611,40582
0.5,1,0.00559508070811629,0.001126345388342966,6.810924012517145e-07,-0.0018338718534554599,0.0019575015869221714,0.3488448481078099,40581
0.5,2,0.007277183313395996,0.0014406114538884102,4.403565439760413e-07,-0.002186857286427424,0.0025035656036987005,0.3823973578761458,40580
0.5,3,0.010041449384389056,0.0017189778988086612,5.21195613639579e-09,-0.00957634238797661,0.0029873189966685317,0.001348553338468167,40579
0.5,4,0.012143062560873663,0.0019421164236956806,4.0797513801598805e-10,-0.011763911296095136,0.0033750893268134057,0.0004917165290963301,40578
0.5,5,0.012546780346076439,0.00218803575526828,9.862898979173067e-09,-0.008409513066068089,0.0038024464984804615,0.02699946083929848,40577
0.5,6,0.01429748129865091,0.002397579213006832,2.492364454989246e-09,-0.00911280335700626,0.004166598466445539,0.0287402858765664,40576
0.5,7,0.015094584806559175,0.0026016572511409607,6.604945723374095e-09,-0.013662880458164495,0.004521239010885011,0.002513228888457832,40575
0.5,8,0.01683347446409522,0.002768488967280869,1.2096356557290097e-09,-0.01082962028803075,0.004811150201226295,0.024394539256566906,40574
0.5,9,0.02032210150319025,0.002908646847305045,2.8557659154625548e-12,-0.011973558288146169,0.00505470518701891,0.017850818883625715,40573
0.5,10,0.02192906833317254,0.0031361834542118485,2.746318365971451e-12,-0.014072883740412934,0.005450106900708292,0.009822735150275456,40572
