asset,tau,h,beta_shock,se_shock,pval_shock,n_obs
ETH,0.01,0,-0.07548315782824892,0.009137967140400981,1.495446982949848e-16,40581
ETH,0.01,1,-0.11358420194052667,0.015607236650991382,3.457936868858187e-13,40580
ETH,0.01,3,-0.13529406777827108,0.024714649865632547,4.419767213499815e-08,40578
ETH,0.01,6,-0.17291837302515586,0.03457647805984708,5.725918402216847e-07,40575
ETH,0.01,12,-0.2095423108398058,0.04179646128859417,5.37019251673096e-07,40569
ETH,0.01,24,-0.1952140294098311,0.04840744143662938,5.523394480367616e-05,40557
ETH,0.05,0,-0.03628854125976367,0.0032233117195712055,2.3341523727430608e-29,40581
ETH,0.05,1,-0.0618744804219226,0.005915761337013881,1.4323298024711253e-25,40580
ETH,0.05,3,-0.07928673918169972,0.010070929755242836,3.5526721560883332e-15,40578
ETH,0.05,6,-0.0949739997371067,0.013258686682135125,8.018102340856935e-13,40575
ETH,0.05,12,-0.10741428778359127,0.02005891874207595,8.604985771207335e-08,40569
ETH,0.05,24,-0.09169047270214668,0.023315806261303983,8.419070647872996e-05,40557
ETH,0.5,0,0.0015331539348301926,0.0008034972151829277,0.05638519859063759,40581
ETH,0.5,1,0.0032711065937074046,0.0015521921596705062,0.03508810121883716,40580
ETH,0.5,3,0.005261687583462702,0.0023859257165891982,0.0274384725688479,40578
ETH,0.5,6,0.013887419452050768,0.0032777057680960092,2.2709335890492204e-05,40575
ETH,0.5,12,0.03254873969728244,0.0049026109020941675,3.196564561481341e-11,40569
ETH,0.5,24,0.027347462016576445,0.007127592000450423,0.00012481407386441694,40557
BTC,0.01,0,-0.06613573066419236,0.0073947222083093666,3.9206324788915073e-19,40581
BTC,0.01,1,-0.10255746477002223,0.020395920613639266,4.96868437887649e-07,40580
BTC,0.01,3,-0.12924176868603993,0.025214069241194906,2.976660476579829e-07,40578
BTC,0.01,6,-0.16267915232243765,0.038761449264511305,2.711308874835525e-05,40575
BTC,0.01,12,-0.12903877557024016,0.048425817416047734,0.0077094613226803815,40569
BTC,0.01,24,-0.17420043298292148,0.050779832857110005,0.0006030603418898185,40557
BTC,0.05,0,-0.031625807304748434,0.002073122843939605,2.1273517528017707e-52,40581
BTC,0.05,1,-0.05994594709550376,0.006366060911059174,4.900694271029138e-21,40580
BTC,0.05,3,-0.08838171937117603,0.010305515530040239,1.0150776870981083e-17,40578
BTC,0.05,6,-0.11345865575405761,0.013184702190005858,7.878400403166928e-18,40575
BTC,0.05,12,-0.10943350153258569,0.018721952613869216,5.098323336476148e-09,40569
BTC,0.05,24,-0.10895199354868779,0.025344794069538656,1.7213196734782832e-05,40557
BTC,0.5,0,-0.0001558536206387325,0.0001818491697877478,0.3914229531741663,40581
BTC,0.5,1,-0.00022654920649500096,0.0013385562502498402,0.8656016919030862,40580
BTC,0.5,3,0.004171969822098956,0.0021163291382787527,0.048693644672949156,40578
BTC,0.5,6,0.007242738569336468,0.0028903828374307306,0.012221147935251982,40575
BTC,0.5,12,0.0199267258013424,0.004263813827392719,2.971304918322273e-06,40569
BTC,0.5,24,0.029329084323389508,0.006376695080941409,4.249524926541917e-06,40557
XRP,0.01,0,-0.05943675001083367,0.009520381816294249,4.3320385994302353e-10,40581
XRP,0.01,1,-0.11615774658201133,0.017848654178126016,7.708069890979737e-11,40580
XRP,0.01,3,-0.11524645731629886,0.025082254616878078,4.345898751134456e-06,40578
XRP,0.01,6,-0.19259258567671453,0.033248429576694286,6.984412055334597e-09,40575
XRP,0.01,12,-0.29250782763242605,0.04608691863388292,2.2205126431682807e-10,40569
XRP,0.01,24,-0.3244711191286488,0.06011408122404545,6.792051741026123e-08,40557
XRP,0.05,0,-0.02823949648462852,0.0037168220453166626,3.077776799925049e-14,40581
XRP,0.05,1,-0.055566841159450445,0.006179466036828103,2.5258513795273625e-19,40580
XRP,0.05,3,-0.07590044445265132,0.009429187582143814,8.536215666796914e-16,40578
XRP,0.05,6,-0.10660603877772443,0.01217970308692976,2.1605430884081932e-18,40575
XRP,0.05,12,-0.11852880313358993,0.016644975689087037,1.0892760020551164e-12,40569
XRP,0.05,24,-0.17159204869519548,0.021229901076948846,6.515961041704802e-16,40557
XRP,0.5,0,0.0011231926306624449,0.0009581680636029612,0.2411119102308768,40581
XRP,0.5,1,0.006310419271201236,0.0016196832357468105,9.791793574483567e-05,40580
XRP,0.5,3,0.015525139763378689,0.0024520193719266238,2.452074739642035e-10,40578
XRP,0.5,6,0.01977954660972669,0.0032512325698496993,1.1848336814119255e-09,40575
XRP,0.5,12,0.03546031310543557,0.004435147822202744,1.326614930531867e-15,40569
XRP,0.5,24,0.041406534218772745,0.0066676613871452795,5.347924838325956e-10,40557
DOGE,0.01,0,-0.060839631171887454,0.011339440123584264,8.125138897286722e-08,40581
DOGE,0.01,1,-0.09246810012648521,0.015941036614360613,6.655456986857371e-09,40580
DOGE,0.01,3,-0.1502225230551342,0.033411963169381234,6.941241008324052e-06,40578
DOGE,0.01,6,-0.24528237183986948,0.04155968722649685,3.6212149132649657e-09,40575
DOGE,0.01,12,-0.28276311644382757,0.04889414280758273,7.38430093730686e-09,40569
DOGE,0.01,24,-0.3008775028926312,0.04541427313697914,3.511663511711886e-11,40557
DOGE,0.05,0,-0.026871130198125655,0.004090626715308476,5.128186838832606e-11,40581
DOGE,0.05,1,-0.05421325081146678,0.006399595300386247,2.5058303064993848e-17,40580
DOGE,0.05,3,-0.06601544260106425,0.009000823970712326,2.2690692819772468e-13,40578
DOGE,0.05,6,-0.08888626015621429,0.013419864773477725,3.55202409662913e-11,40575
DOGE,0.05,12,-0.10893007310705195,0.016078579028819477,1.2622625636706535e-11,40569
DOGE,0.05,24,-0.12548379314598965,0.022177862179391546,1.5411871353146235e-08,40557
DOGE,0.5,0,0.003323983345462019,0.0009034974612594462,0.00023443639217270978,40581
DOGE,0.5,1,0.00564947492967714,0.0016099977540911174,0.00045028940975035294,40580
DOGE,0.5,3,0.010208852850558812,0.0024152613495274687,2.3754454387838353e-05,40578
DOGE,0.5,6,0.01808770912889179,0.003383955664485439,9.083523968670057e-08,40575
DOGE,0.5,12,0.03707587542997111,0.004833136789602977,1.7421552645706687e-14,40569
DOGE,0.5,24,0.03789401628565082,0.007211541261087243,1.490668443955167e-07,40557
